bdb_cid,smiles,mw,alogp,tpsa,hbd,hba,rotb,rings,arom_rings,fsp3,formal_charge,heavy_atoms,globularity_proxy,scaffold
16,[O-]S(=O)(=O)[O-].[Mg+2],120.37,-1.7188,80.25999999999999,0,4,0,0,0,0.0,0,6,0.0,
32,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,414.59,6.8638,74.60000000000001,2,4,9,1,0,0.5384615384615384,0,30,0.2,O=C1C=CC=CC1
36,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,362.47,4.2522,94.83000000000001,3,5,7,1,0,0.5238095238095238,0,26,0.23076923076923078,O=C1C=CC=CC1
37,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,212.25,2.6029,37.3,1,2,3,2,2,0.07142857142857142,0,16,0.75,O=C(Cc1ccccc1)c1ccccc1
38,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,324.42,3.1732,45.59,1,4,4,5,2,0.45,0,24,0.75,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1
41,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,496.64,3.8024,93.06,2,6,0,7,0,0.8,0,36,0.7222222222222222,O=C1CC2CCCC3C(=CC4C3C3C=CC45C3CCCC3CC(=O)OC35)C2O1
42,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,248.32,2.4518,38.83,0,3,0,4,0,0.8,0,18,0.7777777777777778,O=C1CC2CCC3OC34CC=CC4C2O1
43,CC1=CCC23C1C4C(CCC2(O3)C)C(=C)C(=O)O4,246.31,2.3719,38.83,0,3,0,4,0,0.6666666666666666,0,18,0.7777777777777778,C=C1C(=O)OC2C1CCC1OC13CC=CC23
44,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,341.28,3.3367,108.13000000000001,1,6,3,4,3,0.11764705882352941,0,25,0.68,c1ccc2c(c1)ccc1ccc3c(c12)OCO3
45,CC1=CC2C(CCC(=C)C(CC1)O)C(=C)C(=O)O2,248.32,2.5216,46.53,1,3,0,2,0,0.5333333333333333,0,18,0.7222222222222222,C=C1CCCC=CC2OC(=O)C(=C)C2CC1
46,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.19,-1.0293,61.82,0,6,0,2,2,0.375,0,14,0.6428571428571429,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
48,CC1C(CC2(C(C1(CC(C3=COC=C3)O)C=O)CCC(C2(C)O)O)C)OC(=O)C,408.49,2.3881,117.20000000000002,3,7,5,3,1,0.7272727272727273,0,29,0.5172413793103449,c1cc(CCC2CCCC3CCCCC32)co1
49,C1=CC=C2C(=C1)C=CC(=O)O2,146.14,1.793,30.21,0,2,0,2,2,0.0,0,11,0.9090909090909091,O=c1ccc2ccccc2o1
50,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,558.71,3.4993,138.20000000000002,3,8,5,4,0,0.75,0,40,0.425,O=C1CCC2C(=CCC3C4CCCC4CC(=O)C23)C1
51,CCCCCCCC=CC(C#CC#CC(C=C)O)O,260.38,2.8177,40.46,2,2,8,0,0,0.5294117647058824,0,19,0.0,
52,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,413.43,2.8818,75.69000000000001,0,8,4,5,2,0.4090909090909091,0,30,0.7333333333333333,O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21
53,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,339.39,3.86,49.81,0,5,6,3,3,0.25,0,25,0.64,c1ccc(Cc2nccc3ccccc23)cc1
54,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,248.32,2.762,38.83,0,3,0,3,0,0.6666666666666666,0,18,0.7777777777777778,C=C1C(=O)OC2C1CCC=CCCC1OC12
55,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,388.46,2.819,78.9,0,6,2,4,0,0.6818181818181818,0,28,0.6071428571428571,O=C1CC2C=CC(=O)C3C4C(=O)C=CCC4CC(O1)C23
56,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.27,1.1458,115.42000000000002,1,8,3,3,3,0.1111111111111111,0,19,0.7368421052631579,c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1
57,C1=CC=C(C=C1)C(=O)N,121.14,0.7855,43.09,1,1,1,1,1,0.0,0,9,0.6666666666666666,c1ccccc1
58,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,260.33,2.0227,90.65,2,4,7,0,0,0.8333333333333334,0,18,0.0,
59,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,505.46,3.3366,177.58,6,2,9,2,2,0.2727272727272727,0,34,0.35294117647058826,C(=NC=NCCCCCCN=CN=CNc1ccccc1)Nc1ccccc1
60,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,274.8,3.8186,16.130000000000003,0,2,5,2,2,0.3125,0,19,0.631578947368421,c1ccc(Cc2ccccn2)cc1
61,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,255.36,3.3542,12.47,0,2,6,2,2,0.29411764705882354,0,19,0.631578947368421,c1ccc(Cc2ccccc2)cc1
62,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,309.45,4.1886,23.47,1,2,6,3,2,0.42857142857142855,0,23,0.782608695652174,c1ccc(C(CCCN2CCCCC2)c2ccccc2)cc1
63,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,228.32,3.4955,24.06,2,1,2,2,2,0.0,0,16,0.75,S=C(Nc1ccccc1)Nc1ccccc1
64,C=CS(=O)C=C,102.16,1.0221,17.07,0,1,2,0,0,0.0,0,6,0.0,
65,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,281.23,4.1472,49.33,2,2,3,2,2,0.07142857142857142,0,20,0.6,c1ccc(Nc2ccccc2)cc1
66,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,375.87,4.4256,40.54,1,3,6,3,2,0.38095238095238093,0,26,0.6923076923076923,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1
67,C1=CC=C(C=C1)C(=O)[O-].[Na+],144.11,-2.9459,40.129999999999995,0,2,1,1,1,0.0,0,10,0.6,c1ccccc1
68,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,265.36,0.60774,75.91,2,5,4,2,2,0.4166666666666667,1,18,0.6111111111111112,c1ncc(C[n+]2ccsc2)cn1
69,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],323.13,0.909,112.70000000000002,3,5,6,1,1,0.36363636363636365,0,20,0.3,c1ccccc1
70,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,354.45,2.6471,65.56,2,4,1,5,2,0.5714285714285714,0,26,0.8076923076923077,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3
71,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,586.55,1.0569,201.67,6,13,7,5,2,0.3793103448275862,0,42,0.6666666666666666,O=C1OCCC2CC(OC3OCCCC3OC(=O)c3ccccc3-c3ccccc3)OC=C12
72,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,362.47,3.6254,91.67,2,5,7,1,0,0.5714285714285714,0,26,0.23076923076923078,O=C1C=CCC(=O)C1
73,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,348.44,3.8621,94.83000000000001,3,5,6,1,0,0.5,0,25,0.24,O=C1C=CC=CC1
74,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,400.56,6.4737,74.60000000000001,2,4,8,1,0,0.52,0,29,0.20689655172413793,O=C1C=CC=CC1
75,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,354.4,4.3216,75.99000000000001,2,5,4,3,2,0.2857142857142857,0,26,0.6153846153846154,O=C1CC(c2ccccc2)Oc2ccccc21
76,CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C,354.4,4.2168,86.99000000000001,3,5,6,2,2,0.19047619047619047,0,26,0.46153846153846156,O=C(C=Cc1ccccc1)c1ccccc1
77,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,271.4,3.3834,12.47,0,2,1,4,1,0.6666666666666666,0,20,0.85,c1ccc2c(c1)CC1NCCC23CCCCC13
