"cID","rID","RefID","Classification","THRmicroM","EC50Str","EC50mM","EC50microM","Efficacy_str","Efficacy","Efficacy_microM","Concentration_used","SequenceVariant"
"32","1","73","Bitter","0.1",,,,,,,,
"32","14","73","Bitter","3.0",,,,,,,,
"36","1","73","Bitter","0.1",,,"1.4",,,,,
"36","40","73","Bitter","0.1",,,"0.4",,,,,
"37","10","68","Bitter","30.0",,,,,,,,
"37","14","68","Bitter","10.0",,,,,,,,
"38","1001","983","Bitter","10",,,,,,,,
"38","1002","983","Bitter","10",,,,,,,,
"38","1007","983","Bitter","10",,,,,,,,
"41","1007","983","Bitter","100.0",,,,,,,,
"46","1002","983","Bitter","30.0",,,,,,,,
"49","1001","983","Bitter","300",,,,,,,,
"49","1002","983","Bitter","30",,,,,,,,
"54","1002","983","Bitter","10.0",,,,,,,,
"54","1007","983","Bitter","100.0",,,,,,,,
"55","1007","983","Bitter","300.0",,,,,,,,
"56","4","68","Bitter","300.0",,,,,,,,
"56","10","68","Bitter","300.0",,,,,,,,
"56","46","68","Bitter","300.0",,,,,,,,"AAM19318.1"
"56","1001","983","Bitter","300.0",,,,,,,,
"57","14","68","Bitter","300.0",,,,,,,,
"58","14","68","Bitter","100.0",,,,,,,,
"58","1007","983","Bitter","30.0",,,,,,,,
"59","14","68","Bitter","0.1",,,,,,,,
"60","4","68","Bitter","30.0",,,,,,,,
"60","7","68","Bitter","10.0",,,,,,,,
"60","10","68","Bitter","10.0",,,,,,,,
"60","14","68","Bitter","100.0",,,,,,,,
"60","38","68","Bitter","100.0",,,,,,,,
"60","39","68","Bitter","100.0",,,,,,,,"AAM19321.1"
"60","40","68","Bitter","100.0",,,,,,,,
"60","46","68","Bitter","100.0",,,,,,,,"AAM19318.1"
"60","1001","983","Bitter","10.0",,,,,,,,
"60","1002","983","Bitter","100.0",,,,,,,,
"60","1007","983","Bitter","100.0",,,,,,,,
"61","14","68","Bitter","30.0",,,,,,,,
"61","1001","983","Bitter","10.0",,,,,,,,
"62","1","68","Bitter","100.0",,,,,,,,
"62","4","68","Bitter","100.0",,,,,,,,
"62","7","68","Bitter","10.0",,,,,,,,
"62","10","68","Bitter","30.0",,,,,,,,
"62","13","68","Bitter","30.0",,,,,,,,"AAH95518.1"
"62","14","68","Bitter","10.0",,,,,,,,
"62","16","68","Bitter","100.0",,,,,,,,"AAH95524.1"
"62","38","68","Bitter","100.0",,,,,,,,
"62","39","68","Bitter","100.0",,,,,,,,"AAM19321.1"
"62","40","68","Bitter","30",,,,,,,,
"62","43","68","Bitter","30",,,,,,,,
"62","44","68","Bitter","3",,,,,,,,
"62","46","68","Bitter","30.0",,,,,,,,"AAM19318.1"
"62","47","68","Bitter","100.0",,,,,,,,"AAM19324.1"
"62","49","68","Bitter","100",,,,,,,,
"62","1001","983","Bitter","10.0",,,,,,,,
"62","1002","983","Bitter","100.0",,,,,,,,
"62","1007","983","Bitter","100.0",,,,,,,,
"63","1","68","Bitter",,,,,,,,,
"63","14","68","Bitter",,,"1.7","1700",,,,,
"63","14","663","Bitter","2.9",,,,,,,,
"63","38","68","Bitter","0.3",,,,,,,,
"64","14","68","Bitter","3000.0",,,,,,,,
"65","14","68","Bitter","0.01",,,,,,,,
"66","10","68","Bitter","30",,,,,,,,
"66","14","68","Bitter","30.0",,,,,,,,
"69","1001","983","Bitter","100.0",,,,,,,,
"69","1002","983","Bitter","1000.0",,,,,,,,
"69","1007","983","Bitter","300.0",,,,,,,,
"70","1002","983","Bitter","300.0",,,,,,,,
"70","1007","983","Bitter","300.0",,,,,,,,
"71","1","68","Bitter","30",,,,,,,,
"71","4","68","Bitter","300",,,,,,,,
"71","39","68","Bitter","300.0",,,,,,,,"AAM19321.1"
"71","43","68","Bitter","30",,,,,,,,
"71","46","68","Bitter","10.0",,,,,,,,"AAM19318.1"
"71","47","68","Bitter","3.0",,,,,,,,"AAM19324.1"
"71","50","68","Bitter","100.0",,,,,,,,"AAM19326.1"
"71","1007","983","Bitter","100.0",,,,,,,,
"72","1","73","Bitter","0.1",,,,,,,,
"72","40","73","Bitter","0.03",,,,,,,,
"73","1","73","Bitter","0.03",,,"3.3",,,,,
"73","40","73","Bitter","0.003",,,"2.6",,,,,
"74","1","73","Bitter","0.1",,,,,,,,
"74","40","73","Bitter","0.03",,,,,,,,
"75","1","73","Bitter","3",,,,,,,,
"75","14","73","Bitter","3",,,,,,,,
"75","40","73","Bitter","10",,,,,,,,
"76","1","73","Bitter","1",,,,,,,,
"76","14","73","Bitter","3",,,,,,,,
"76","40","73","Bitter","3",,,,,,,,
"77","1","68","Bitter","10",,,,,,,,
"77","10","68","Bitter","10",,,,,,,,
"78","1","68","Bitter","3000.0",,,,,,,,
"78","38","68","Bitter","1000.0",,,,,,,,
"79","1","73","Bitter","0.3",,,"9",,,,,
"79","14","73","Bitter","1.0",,,"11.2",,,,,
"80","1","73","Bitter","1.0",,,"10.6",,,,,
"80","14","73","Bitter","1.0",,,"14.5",,,,,
"81","1","73","Bitter","1",,,"2.2",,,,,
"81","14","73","Bitter","3.0",,,"4.1",,,,,
"82","1","73","Bitter","1.0",,,"7.4",,,,,
"82","14","73","Bitter","1.0",,,"9.4",,,,,
"83","1","73","Bitter","0.3",,,"3.3",,,,,
"83","14","73","Bitter","0.3",,,"2.6",,,,,
"84","1","73","Bitter","0.3",,,"2.5",,,,,
"84","14","73","Bitter","1",,,"2.8",,,,,
"85","1","73","Bitter","0.3",,,"6.7",,,,,
"85","14","73","Bitter","1.0",,,"9.0",,,,,
"86","1","68","Bitter","30000",,,,,,,,
"86","38","68","Bitter","30000",,,,,,,,
"87","3","68","Bitter","10.0",,,,,,,,
"87","10","68","Bitter","10000",,,,,,,,
"87","14","68","Bitter","10.0",,,,,,,,
"87","39","68","Bitter","100.0",,,,,,,,"AAM19321.1"
"87","1001","983","Bitter","1000.0",,,,,,,,
"88","14","73","Bitter","0.3",,,"1.5",,,,,
"89","1001","983","Bitter","1000.0",,,,,,,,
"89","1007","983","Bitter","300.0",,,,,,,,
"90","1007","983","Bitter","300.0",,,,,,,,
"91","10","68","Bitter","100",,,,,,,,
"92","1007","983","Bitter","300.0",,,,,,,,
"93","4","68","Bitter","100",,,,,,,,
