bdb_cid,split
124,train
2181,train
2371,train
1709,train
2275,train
1699,train
1716,train
1629,train
71,train
2590,train
947,train
49,train
672,train
2107,train
1161,train
1249,train
128,train
75,train
88,train
644,train
892,train
893,train
894,train
895,train
896,train
897,train
898,train
900,train
2074,train
1359,train
1722,train
2377,train
927,train
809,train
813,train
814,train
60,train
2347,train
44,train
1711,train
467,train
56,train
1782,train
2374,train
2376,train
50,train
967,train
2391,train
1622,train
832,train
129,train
953,train
1694,train
1701,train
1705,train
1717,train
800,train
801,train
803,train
913,train
914,train
915,train
916,train
918,train
919,train
920,train
921,train
922,train
2691,train
2286,train
2287,train
2288,train
61,train
130,train
2230,train
816,train
912,train
917,train
2036,train
2193,train
1700,train
102,train
961,train
63,train
1788,train
89,train
931,train
144,train
941,train
1704,train
2370,train
966,train
2202,train
1269,train
2705,train
1202,train
2586,train
1748,train
2612,train
1643,train
2406,train
1363,train
48,train
123,train
2227,train
1300,train
1618,train
1720,train
940,train
829,train
838,train
962,train
1194,train
315,train
1224,train
1226,train
1632,train
2372,train
955,train
1340,train
1350,train
1351,train
1352,train
1354,train
1355,train
1356,train
1357,train
1358,train
1360,train
1361,train
1362,train
2245,train
1247,train
221,train
1706,train
705,train
2709,train
32,train
36,train
73,train
74,train
81,train
2300,train
2622,train
1241,train
482,train
956,train
1682,train
1972,train
2333,train
2696,train
935,train
1333,train
1786,train
72,train
115,train
808,train
815,train
86,train
2654,train
1688,train
1690,train
2611,train
1644,train
973,train
101,train
938,train
1612,train
2348,train
732,train
738,train
1344,train
2189,train
2389,train
1713,train
1235,train
1237,train
934,train
1327,train
66,train
98,train
2039,train
2327,train
1227,train
53,train
127,train
946,train
1192,train
932,train
94,train
113,train
2285,train
802,train
827,train
828,train
830,train
1228,train
2201,train
2646,train
924,train
1631,train
2299,train
2632,train
1953,train
1200,train
122,train
909,train
683,train
929,train
930,train
923,train
1696,train
97,train
968,train
1620,train
899,train
1207,train
1328,train
1330,train
125,train
840,train
2390,train
2085,train
2086,train
2272,train
2610,train
1655,train
42,train
2581,train
1294,train
2695,train
2413,train
463,train
465,train
1332,train
109,train
1623,train
2605,train
92,train
2579,train
2338,train
1718,train
1285,train
1615,train
1201,train
1193,train
348,train
1625,train
2411,train
2289,train
2292,train
2293,train
2040,train
1751,train
1349,train
1621,train
1239,train
1678,train
674,train
1329,train
43,train
95,train
1205,train
46,train
514,train
749,train
1676,train
103,train
104,train
461,train
645,train
1288,train
1289,train
1290,train
2334,train
2336,train
2337,train
1689,train
70,train
1345,train
939,train
1353,train
352,train
831,train
949,train
950,train
952,train
1784,train
2344,train
1347,train
1364,train
1710,train
1677,train
2041,train
111,train
87,train
641,train
54,train
1250,train
1939,train
2635,train
2028,train
90,train
976,train
1198,train
1723,train
52,train
1658,train
1646,train
1661,train
1662,train
1663,train
1666,train
1667,train
1668,train
1669,train
1670,train
1671,train
1672,train
2407,train
2408,train
1331,train
2458,train
1208,train
1295,train
2331,train
2378,train
2379,train
2380,train
2382,train
2383,train
2384,train
2385,train
1685,train
1416,train
1425,train
1634,train
1635,train
1636,train
1639,train
1640,train
1642,train
1647,train
1665,train
1384,train
1686,train
910,train
911,train
2033,train
2221,train
2223,train
2224,train
1645,train
1236,train
1189,train
2409,train
2410,train
2290,train
2291,train
657,train
1188,train
1203,train
65,train
937,train
942,train
1633,train
1637,train
1638,train
1649,train
1653,train
1654,train
1660,train
1664,train
1673,train
1674,train
1675,train
1679,train
1680,train
1681,train
1683,train
1703,train
1707,train
2350,train
2351,train
2352,train
2353,train
2354,train
2355,train
2356,train
2357,train
2358,train
2359,train
2360,train
2361,train
2362,train
2363,train
2364,train
2365,train
2366,train
2367,train
2368,train
2403,train
2404,train
1684,train
37,train
1234,train
1240,train
2375,train
2414,train
96,train
1691,train
126,train
1687,train
2412,train
2415,train
2416,train
38,train
567,train
824,train
676,train
1693,train
1648,train
1284,train
120,train
323,train
958,train
62,train
1617,train
2349,train
59,train
1702,train
2180,train
114,train
2369,train
806,train
963,train
1712,train
1715,train
933,train
1191,train
2183,train
2624,train
1206,train
2142,train
2053,train
1196,train
1714,train
1721,train
928,train
2593,train
2381,train
77,train
79,train
80,train
82,train
83,train
84,train
85,train
2186,train
2326,train
2305,train
1697,train
2699,train
1611,train
1951,train
1787,train
1650,train
2417,train
1254,train
1952,train
41,train
545,train
634,train
977,train
1338,train
2276,train
2277,train
2278,train
2279,train
1204,train
2580,train
1348,train
91,train
100,train
57,train
67,train
69,train
118,train
119,train
121,train
181,train
675,train
752,train
835,train
836,train
926,train
954,train
969,train
972,train
1303,train
1317,train
1556,train
1557,train
1613,train
1614,train
2045,train
2110,train
2112,train
2115,train
2192,train
2200,train
2388,train
2392,train
2405,train
76,train
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,train
2627,train
2639,train
2645,train
131,test
93,test
444,test
810,test
811,test
859,test
860,test
861,test
862,test
863,test
864,test
865,test
866,test
867,test
868,test
869,test
870,test
871,test
872,test
873,test
874,test
875,test
876,test
877,test
878,test
879,test
880,test
881,test
882,test
883,test
884,test
885,test
886,test
887,test
888,test
889,test
890,test
891,test
1627,test
1628,test
2076,test
925,test
1698,test
1253,test
45,test
1187,test
1719,test
1641,test
1651,test
1652,test
1656,test
1657,test
1659,test
106,test
282,test
1287,test
2335,test
2604,test
1695,test
957,test
2182,test
2373,test
99,test
1190,test
1195,test
2690,test
1747,test
1624,test
1708,test
55,test
68,test
520,test
2038,test
837,test
2444,test
1626,test
1630,test
2052,test
1749,test
1286,test
1692,test
